iteration,rmse_tot,mape_tot
0,34.985240737260874,672
1,36.97707498504385,672
2,35.548792632542785,672
3,36.61428260382971,672
4,36.406575146369306,672
5,38.101430882096146,672
6,37.03706504864823,672
7,37.33733679163734,672
8,37.72831566379863,672
9,36.74722524325339,672
