dataset,rsme_in,rsme_out,rsme_tot,mape_in,mape_out,mape_tot,ape_in,ape_out,ape_tot
TaxiBJ,40.90132044966724,40.95855327277905,40.929946864890056,30.90369987487793,31.012624740600586,30.958127975463867,33829788.67252235,33908825.999311715,67738614.67183405
BikeNYC,6.508638090389315,6.607442832234722,6.558226535158597,26.49724578857422,26.425186157226562,26.46118927001953,204797.19532524134,204504.50058832442,409301.6959135657
TaxiNYC,168.83450471766406,159.64975696387236,164.30632197496607,30.647811889648438,25.093936920166016,27.193523406982422,338290.56578755676,455705.89524006745,793996.4610276243
RomaNord,9.0,9.055385138137417,9.055385138137417,17.091087341308594,17.213516235351562,17.15235137939453,2306544.981861226,2326647.5250488124,4633192.506910037
RomaNord16x8,46.216880033165374,47.30750469005948,46.76537180435969,12.793617248535156,12.991936683654785,12.893321990966797,206847.18444697704,212379.147454953,419226.3319019301
